,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1993-94,Crystal Palace,Nott'm Forest,Leicester,Millwall,Derby,Wolves,Tranmere,Stoke,Notts County,Sunderland,Middlesbrough,Charlton,Bristol City,Southend,Bolton,Grimsby,Luton,Portsmouth,Barnsley,Watford,Birmingham,Oxford,West Brom,Peterboro
1,1994-95,Middlesbrough,Bolton,Wolves,Reading,Tranmere,Sheffield United,Barnsley,Watford,Stoke,Derby,Grimsby,Oldham,Southend,West Brom,Millwall,Portsmouth,Port Vale,Luton,Sunderland,Charlton,Swindon,Burnley,Bristol City,Notts County
2,1995-96,Sunderland,Derby,Crystal Palace,Stoke,Charlton,Leicester,Ipswich,Sheffield United,Port Vale,Huddersfield,Barnsley,Southend,Tranmere,Grimsby,Norwich,West Brom,Portsmouth,Wolves,Birmingham,Reading,Oldham,Watford,Millwall,Luton
3,1996-97,Bolton,Wolves,Sheffield United,Ipswich,Barnsley,QPR,Crystal Palace,Port Vale,Portsmouth,Birmingham,Man City,Norwich,Stoke,Tranmere,Charlton,Reading,Oxford,Swindon,West Brom,Huddersfield,Bradford,Grimsby,Oldham,Southend
4,1997-98,Nott'm Forest,Middlesbrough,Sunderland,Charlton,Ipswich,Sheffield United,Birmingham,Wolves,Stockport,Crewe,Oxford,West Brom,Bradford,Norwich,Huddersfield,Tranmere,Swindon,Bury,Portsmouth,Man City,QPR,Port Vale,Stoke,Reading
5,1998-99,Sunderland,Bradford,Ipswich,Bolton,Birmingham,Watford,Wolves,Sheffield United,Norwich,Barnsley,Huddersfield,Crystal Palace,Grimsby,Tranmere,West Brom,Stockport,Crewe,Port Vale,QPR,Swindon,Portsmouth,Oxford,Bristol City,Bury
6,1999-00,Charlton,Man City,Ipswich,Bolton,Barnsley,Wolves,Huddersfield,Birmingham,Fulham,QPR,Blackburn,Tranmere,Norwich,Crystal Palace,Stockport,Crewe,Nott'm Forest,Portsmouth,Sheffield United,Grimsby,Walsall,West Brom,Port Vale,Swindon
7,2000-01,Fulham,Blackburn,Bolton,Preston,Birmingham,West Brom,Burnley,Wimbledon,Watford,Sheffield United,Nott'm Forest,Wolves,Gillingham,Crewe,Norwich,Barnsley,Sheffield Weds,Grimsby,Stockport,Portsmouth,Crystal Palace,Huddersfield,QPR,Tranmere
8,2001-02,Man City,West Brom,Wolves,Millwall,Birmingham,Norwich,Burnley,Preston,Wimbledon,Crystal Palace,Coventry,Gillingham,Sheffield United,Watford,Bradford,Nott'm Forest,Portsmouth,Walsall,Grimsby,Sheffield Weds,Rotherham,Crewe,Barnsley,Stockport
9,2002-03,Portsmouth,Leicester,Sheffield United,Reading,Nott'm Forest,Ipswich,Norwich,Wolves,Millwall,Wimbledon,Gillingham,Preston,Watford,Crystal Palace,Rotherham,Walsall,Derby,Coventry,Bradford,Burnley,Stoke,Brighton,Sheffield Weds,Grimsby
