,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1993-94,Reading,Port Vale,Plymouth,Stockport,York,Burnley,Bradford,Hull,Bristol Rvs,Cambridge,Huddersfield,Wrexham,Swansea,Brighton,Rotherham,Brentford,Bournemouth,Leyton Orient,Cardiff,Blackpool,Fulham,Exeter,Hartlepool,Barnet
1,1994-95,Birmingham,Brentford,Crewe,Bristol Rvs,Huddersfield,Wycombe,Oxford,Hull,York,Swansea,Stockport,Blackpool,Wrexham,Bradford,Peterboro,Brighton,Rotherham,Shrewsbury,Bournemouth,Cambridge,Plymouth,Cardiff,Chester,Leyton Orient
2,1995-96,Swindon,Oxford,Blackpool,Notts County,Crewe,Bradford,Chesterfield,Wrexham,Stockport,Bristol Rvs,Walsall,Wycombe,Bristol City,Brentford,Bournemouth,Rotherham,Burnley,Shrewsbury,Peterboro,York,Carlisle,Swansea,Brighton,Hull
3,1996-97,Bury,Stockport,Luton,Brentford,Bristol City,Crewe,Blackpool,Wrexham,Burnley,Chesterfield,Watford,Gillingham,Walsall,Millwall,Preston,Bournemouth,Bristol Rvs,Wycombe,Plymouth,York,Peterboro,Shrewsbury,Notts County,Rotherham
4,1997-98,Watford,Bristol City,Grimsby,Northampton,Fulham,Bristol Rvs,Gillingham,Wrexham,Bournemouth,Chesterfield,Wigan,Blackpool,Oldham,Wycombe,Preston,York,Luton,Millwall,Walsall,Burnley,Brentford,Plymouth,Carlisle,Southend
5,1998-99,Fulham,Walsall,Man City,Gillingham,Preston,Wigan,Bournemouth,Stoke,Chesterfield,Millwall,Reading,Luton,Bristol Rvs,Blackpool,Burnley,Notts County,Wrexham,Colchester,Wycombe,Oldham,York,Northampton,Lincoln,Macclesfield
6,1999-00,Preston,Burnley,Gillingham,Wigan,Millwall,Stoke,Bristol Rvs,Notts County,Bristol City,Reading,Wrexham,Wycombe,Luton,Oldham,Bury,Bournemouth,Brentford,Colchester,Cambridge,Oxford,Cardiff,Blackpool,Scunthorpe,Chesterfield
7,2000-01,Millwall,Rotherham,Reading,Walsall,Stoke,Wigan,Bournemouth,Notts County,Bristol City,Wrexham,Port Vale,Peterboro,Wycombe,Brentford,Oldham,Bury,Colchester,Northampton,Cambridge,Swindon,Bristol Rvs,Luton,Swansea,Oxford
8,2001-02,Brighton,Reading,Brentford,Cardiff,Stoke,Huddersfield,Bristol City,QPR,Oldham,Wigan,Wycombe,Tranmere,Swindon,Port Vale,Colchester,Blackpool,Peterboro,Chesterfield,Notts County,Northampton,Bournemouth,Bury,Wrexham,Cambridge
9,2002-03,Wigan,Crewe,Cardiff,Oldham,Bristol City,QPR,Tranmere,Luton,Blackpool,Plymouth,Swindon,Wycombe,Brentford,Chesterfield,Peterboro,Port Vale,Notts County,Stockport,Northampton,Barnsley,Mansfield,Colchester,Cheltenham,Huddersfield
