,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1993-94,Shrewsbury,Chester,Crewe,Wycombe,Preston,Torquay,Carlisle,Chesterfield,Rochdale,Walsall,Scunthorpe,Mansfield,Bury,Scarborough,Doncaster,Gillingham,Colchester,Lincoln,Wigan,Hereford,Darlington,Northampton,,
1,1994-95,Carlisle,Walsall,Chesterfield,Bury,Preston,Mansfield,Fulham,Scunthorpe,Doncaster,Colchester,Lincoln,Barnet,Torquay,Wigan,Rochdale,Hereford,Northampton,Hartlepool,Darlington,Gillingham,Scarborough,Exeter,,
2,1995-96,Preston,Gillingham,Bury,Plymouth,Darlington,Hereford,Colchester,Barnet,Chester,Wigan,Northampton,Scunthorpe,Doncaster,Exeter,Rochdale,Cambridge,Fulham,Mansfield,Lincoln,Hartlepool,Leyton Orient,Cardiff,Scarborough,Torquay
3,1996-97,Fulham,Wigan,Carlisle,Northampton,Swansea,Chester,Cardiff,Colchester,Lincoln,Cambridge,Mansfield,Scarborough,Scunthorpe,Rochdale,Barnet,Hull,Leyton Orient,Darlington,Doncaster,Hartlepool,Torquay,Brighton,Exeter,Hereford
4,1997-98,Notts County,Macclesfield,Lincoln,Colchester,Torquay,Scarborough,Barnet,Leyton Orient,Scunthorpe,Peterboro,Rotherham,Mansfield,Shrewsbury,Chester,Cambridge,Exeter,Hartlepool,Rochdale,Darlington,Cardiff,Swansea,Hull,Brighton,Doncaster
5,1998-99,Brentford,Cambridge,Cardiff,Scunthorpe,Rotherham,Leyton Orient,Swansea,Mansfield,Peterboro,Halifax,Darlington,Exeter,Plymouth,Chester,Shrewsbury,Barnet,Brighton,Southend,Rochdale,Torquay,Hull,Hartlepool,Carlisle,Scarborough
6,1999-00,Swansea,Rotherham,Northampton,Darlington,Peterboro,Barnet,Hartlepool,Cheltenham,Torquay,Brighton,Plymouth,Rochdale,Macclesfield,Hull,Lincoln,Southend,Mansfield,Halifax,Leyton Orient,York,Exeter,Shrewsbury,Carlisle,Chester
7,2000-01,Brighton,Chesterfield,Cardiff,Hartlepool,Leyton Orient,Hull,Blackpool,Rochdale,Cheltenham,Scunthorpe,Southend,Plymouth,Mansfield,Macclesfield,Shrewsbury,Kidderminster,York,Lincoln,Exeter,Darlington,Torquay,Carlisle,Halifax,Barnet
8,2001-02,Plymouth,Luton,Mansfield,Cheltenham,Rochdale,Rushden & D,Hartlepool,Scunthorpe,Shrewsbury,Kidderminster,Hull,Southend,Macclesfield,York,Darlington,Exeter,Carlisle,Leyton Orient,Torquay,Swansea,Oxford,Lincoln,Bristol Rvs,Halifax
9,2002-03,Hartlepool,Rushden & D,Oxford,Scunthorpe,Torquay,Bury,Bournemouth,York,Cambridge,Lincoln,Wrexham,Kidderminster,Hull,Southend,Leyton Orient,Darlington,Rochdale,Shrewsbury,Boston,Carlisle,Macclesfield,Exeter,Bristol Rvs,Swansea
10,2003-04,Doncaster,Hull,Huddersfield,Torquay,Mansfield,Lincoln,Yeovil,Oxford,Northampton,Swansea,Boston,Bristol Rvs,Bury,Kidderminster,Cambridge,Macclesfield,Southend,Rochdale,Cheltenham,Scunthorpe,Leyton Orient,Darlington,York,Carlisle
11,2004-05,Yeovil,Scunthorpe,Southend,Swansea,Macclesfield,Darlington,Northampton,Leyton Orient,Lincoln,Grimsby,Oxford,Wycombe,Rochdale,Bristol Rvs,Bury,Mansfield,Boston,Cheltenham,Rushden & D,Chester,Shrewsbury,Notts County,Cambridge,Kidderminster
12,2005-06,Carlisle,Northampton,Leyton Orient,Grimsby,Cheltenham,Wycombe,Lincoln,Darlington,Peterboro,Shrewsbury,Boston,Bristol Rvs,Wrexham,Rochdale,Chester,Mansfield,Macclesfield,Barnet,Bury,Torquay,Notts County,Stockport,Oxford,Rushden & D
13,2006-07,Walsall,Hartlepool,Swindon,Milton Keynes Dons,Lincoln,Bristol Rvs,Shrewsbury,Stockport,Rochdale,Peterboro,Darlington,Wycombe,Notts County,Barnet,Grimsby,Hereford,Mansfield,Chester,Wrexham,Accrington,Bury,Macclesfield,Boston,Torquay
14,2007-08,Milton Keynes Dons,Peterboro,Hereford,Stockport,Rochdale,Darlington,Wycombe,Rotherham,Chesterfield,Bradford,Morecambe,Barnet,Bury,Brentford,Lincoln,Grimsby,Accrington,Shrewsbury,Macclesfield,Dag and Red,Notts County,Chester,Mansfield,Wrexham
